ip,port,username,password,protocols,ping,detected,organisation,country,isocode,latitude,longitude,asn,connections,uptime,dateAdded,lastTested,lastSuccess,detection,provider
1.0.136.16,4153,,,"[ProtocolDataType(type=socks4, port=4153, tls=false, autoRead=null)]",,true,"TOT Public Company Limited",Thailand,TH,13.866700172424316,100.19170379638672,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=890, connections=ConnectionAttempts(success=7, fail=76), uptime=8.0%, visibleIp=null), ora_UK=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=80), uptime=0%, visibleIp=null), ora_JP=EndpointServerData(ping=535, connections=ConnectionAttempts(success=8, fail=78), uptime=9.0%, visibleIp=1.0.136.16), ms_HK=EndpointServerData(ping=455, connections=ConnectionAttempts(success=7, fail=81), uptime=7.0%, visibleIp=null))",,"2023-04-15 02:35:45.0","2023-04-15 02:35:46.0",,,
1.0.136.99,4145,,,"[ProtocolDataType(type=socks4, port=4145, tls=true, autoRead=[true])]",,true,"TOT Public Company Limited",Thailand,TH,13.866700172424316,100.19170379638672,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=877, connections=ConnectionAttempts(success=11, fail=164), uptime=6.0%, visibleIp=null), ora_UK=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=174), uptime=0%, visibleIp=null), ora_JP=EndpointServerData(ping=530, connections=ConnectionAttempts(success=19, fail=155), uptime=10.0%, visibleIp=null), ms_HK=EndpointServerData(ping=460, connections=ConnectionAttempts(success=21, fail=147), uptime=12.0%, visibleIp=1.0.136.99))",,"2023-04-15 02:36:27.0","2023-04-15 02:49:10.0",,,
1.0.171.213,8080,,,"[ProtocolDataType(type=https, port=8080, tls=false, autoRead=null)]",,true,"TOT Public Company Limited",Thailand,TH,14.33329963684082,100.86669921875,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=3038, connections=ConnectionAttempts(success=355, fail=2022), uptime=14.0%, visibleIp=null), ora_UK=EndpointServerData(ping=2773, connections=ConnectionAttempts(success=96, fail=2258), uptime=4.0%, visibleIp=null), ora_JP=EndpointServerData(ping=2303, connections=ConnectionAttempts(success=384, fail=1974), uptime=16.0%, visibleIp=null), ms_HK=EndpointServerData(ping=2547, connections=ConnectionAttempts(success=365, fail=1981), uptime=15.0%, visibleIp=null))",,"2023-04-15 02:00:28.0","2023-04-15 02:40:26.0",,,
1.0.205.87,8080,,,"[ProtocolDataType(type=http, port=8080, tls=true, autoRead=[false]), ProtocolDataType(type=https, port=8080, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,10.234600067138672,99.07990264892578,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=3239, connections=ConnectionAttempts(success=307, fail=3632), uptime=7.0%, visibleIp=1.0.205.87), ora_UK=EndpointServerData(ping=1987, connections=ConnectionAttempts(success=88, fail=3845), uptime=2.0%, visibleIp=null), ora_JP=EndpointServerData(ping=1882, connections=ConnectionAttempts(success=300, fail=3644), uptime=7.0%, visibleIp=null), ms_HK=EndpointServerData(ping=3508, connections=ConnectionAttempts(success=326, fail=3638), uptime=8.0%, visibleIp=null))",,"2023-04-15 02:41:21.0","2023-04-15 02:45:42.0",,,
1.1.189.58,8080,,,"[ProtocolDataType(type=http, port=8080, tls=true, autoRead=[false]), ProtocolDataType(type=https, port=8080, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,16.53660011291504,102.097900390625,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1735, connections=ConnectionAttempts(success=389, fail=3575), uptime=9.0%, visibleIp=null), ora_UK=EndpointServerData(ping=3778, connections=ConnectionAttempts(success=110, fail=3867), uptime=2.0%, visibleIp=null), ora_JP=EndpointServerData(ping=5757, connections=ConnectionAttempts(success=397, fail=3609), uptime=9.0%, visibleIp=1.1.189.58), ms_HK=EndpointServerData(ping=5591, connections=ConnectionAttempts(success=380, fail=3588), uptime=9.0%, visibleIp=null))",,"2023-04-15 02:49:01.0","2023-04-15 02:49:01.0",,,
1.1.220.63,8080,,,"[ProtocolDataType(type=https, port=8080, tls=false, autoRead=[false]), ProtocolDataType(type=http, port=8080, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,18.783300399780273,100.7833023071289,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=2108, connections=ConnectionAttempts(success=430, fail=2200), uptime=16.0%, visibleIp=null), ora_UK=EndpointServerData(ping=1425, connections=ConnectionAttempts(success=63, fail=2544), uptime=2.0%, visibleIp=null), ora_JP=EndpointServerData(ping=1865, connections=ConnectionAttempts(success=393, fail=2238), uptime=14.0%, visibleIp=null), ms_HK=EndpointServerData(ping=2755, connections=ConnectionAttempts(success=400, fail=2213), uptime=15.0%, visibleIp=1.1.220.63))",,"2023-04-15 02:37:32.0","2023-04-15 02:49:06.0",,,
1.4.148.10,4145,,,"[ProtocolDataType(type=socks4, port=4145, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,13.863800048828125,100.59980010986328,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=869, connections=ConnectionAttempts(success=45, fail=343), uptime=11.0%, visibleIp=null), ora_UK=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=396), uptime=0%, visibleIp=null), ora_JP=EndpointServerData(ping=587, connections=ConnectionAttempts(success=56, fail=331), uptime=14.0%, visibleIp=null), ms_HK=EndpointServerData(ping=427, connections=ConnectionAttempts(success=68, fail=331), uptime=17.0%, visibleIp=1.4.148.10))",,"2023-04-15 02:36:47.0","2023-04-15 02:47:28.0",,,
1.4.195.114,4145,,,"[ProtocolDataType(type=socks4, port=4145, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,15.108400344848633,103.18360137939453,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=895, connections=ConnectionAttempts(success=420, fail=2670), uptime=13.0%, visibleIp=null), ora_UK=EndpointServerData(ping=803, connections=ConnectionAttempts(success=109, fail=2977), uptime=3.0%, visibleIp=null), ora_JP=EndpointServerData(ping=545, connections=ConnectionAttempts(success=419, fail=2671), uptime=13.0%, visibleIp=1.4.195.114), ms_HK=EndpointServerData(ping=467, connections=ConnectionAttempts(success=394, fail=2690), uptime=12.0%, visibleIp=null))",,"2023-04-15 02:45:21.0","2023-04-15 02:45:28.0",,,
1.4.214.178,8080,,,"[ProtocolDataType(type=http, port=8080, tls=false, autoRead=null)]",,false,"TOT Public Company Limited",Thailand,TH,13.859000205993652,100.47720336914062,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=2719, connections=ConnectionAttempts(success=296, fail=1246), uptime=19.0%, visibleIp=125.25.132.197), ora_UK=EndpointServerData(ping=0, connections=ConnectionAttempts(success=0, fail=1527), uptime=0%, visibleIp=null), ora_JP=EndpointServerData(ping=2878, connections=ConnectionAttempts(success=272, fail=1250), uptime=17.0%, visibleIp=null), ms_HK=EndpointServerData(ping=3030, connections=ConnectionAttempts(success=293, fail=1221), uptime=19.0%, visibleIp=null))",,"2023-04-15 02:47:45.0","2023-04-15 02:47:45.0",,,
1.9.83.210,1337,,,"[ProtocolDataType(type=https, port=1337, tls=true, autoRead=[true]), ProtocolDataType(type=http, port=1337, tls=false, autoRead=[false])]",,true,"Tmnet, Telekom Malaysia Bhd",Malaysia,MY,5.328999996185303,100.29199981689453,AS4788,"PerformanceConnectData(aws_NA=EndpointServerData(ping=3000, connections=ConnectionAttempts(success=455, fail=2151), uptime=17.0%, visibleIp=null), ora_UK=EndpointServerData(ping=2902, connections=ConnectionAttempts(success=84, fail=2524), uptime=3.0%, visibleIp=null), ora_JP=EndpointServerData(ping=2790, connections=ConnectionAttempts(success=432, fail=2175), uptime=16.0%, visibleIp=1.9.83.210), ms_HK=EndpointServerData(ping=3018, connections=ConnectionAttempts(success=426, fail=2192), uptime=16.0%, visibleIp=null))",,"2023-04-15 02:11:29.0","2023-04-15 02:45:59.0",,,
